Verosimilitud_L1,logVerosimilitud_L1,Verosimilitud_L2,logVerosimilitud_L2,TRUE PED,logLikelihod(H1:PP-PadreVerdadero),logLikelihod(H2:PP-SinRelacion)
0.015320736506880001,-4.178548040963632,0.004340912048466286,-5.439670803531924,H1:PP-PadreVerdadero,-4.17855,-5.4383
0.007687321044480002,-4.868182924887284,0.0036925063886319954,-5.60144981339585,H2:PP-SinRelacion,-4.868180000000001,-5.594869999999999
0.01313205986304,-4.332698720790891,0.012525975407279134,-4.379950758214778,H1:PP-PadreVerdadero,-4.3327,-4.3733699999999995
0.00013845178368,-8.884988425223357,0.0037163768367466563,-5.595006053929204,H2:PP-SinRelacion,-8.88499,-5.58477
0.02626411972608,-3.6395515402309453,0.01881191406575352,-3.9732648829645467,H1:PP-PadreVerdadero,-3.63955,-3.9666900000000003
0.0006383719238400002,-7.356589491743145,0.0006322479223810429,-7.366228958491496,H2:PP-SinRelacion,-7.35659,-7.395510000000001
0.0021963774412800006,-6.120945893382652,0.00019520628239756162,-8.541453700089452,H1:PP-PadreVerdadero,-6.12095,-8.570739999999999
7.861230720000003e-06,-11.75356738362788,0.0004488399142480299,-7.708844272220051,H2:PP-SinRelacion,-11.7536,-7.69861
0.0015959298096000006,-6.44029875986899,0.0007654922280446367,-7.174991495701045,H1:PP-PadreVerdadero,-6.4403,-7.168410000000001
0.00013845178368,-8.884988425223357,0.005326597151209165,-5.235042677858634,H2:PP-SinRelacion,-8.88499,-5.22847
0.0009309475308000004,-6.979307640170109,0.0002663201042774293,-8.230811573148207,H1:PP-PadreVerdadero,-6.979310000000001,-8.243269999999999
0.0038301841267200007,-5.5648424020835225,0.0018333987753883635,-6.301583780382517,H2:PP-SinRelacion,-5.56484,-6.2950099999999996
0.00018586310736000005,-8.590500137154221,2.6527474669712382e-05,-10.53732958206813,H1:PP-PadreVerdadero,-8.5905,-10.5448
0.0109433832192,-4.515020277584845,0.006298540688639191,-5.067437309140518,H2:PP-SinRelacion,-4.51502,-5.0572
0.0027358796736,-5.901302259136304,0.0005682183904083872,-7.473004722984911,H1:PP-PadreVerdadero,-5.9013,-7.48026
0.00018449399808,-8.597893625744534,0.0022039910171458045,-6.117485463404945,H2:PP-SinRelacion,-8.59789,-6.10725
0.052343582883839994,-2.949925930194731,0.024916570806900743,-3.6922222026015374,H1:PP-PadreVerdadero,-2.9499299999999997,-3.6819900000000003
0.0109241312256,-4.516781062846711,0.01052647505034494,-4.553861761932225,H2:PP-SinRelacion,-4.516780000000001,-4.55746
0.02626411972608,-3.6395515402309453,0.012593832711390411,-4.374548052202918,H1:PP-PadreVerdadero,-3.63955,-4.36797
0.003830231543040001,-5.564830022515091,0.0036571920657085116,-5.611059621175286,H2:PP-SinRelacion,-5.564830000000001,-5.604480000000001
0.007646939274240001,-4.873449806073588,0.0037058911983418245,-5.597831509795526,H1:PP-PadreVerdadero,-4.87345,-5.6001199999999995
0.007646939274240001,-4.873449806073588,0.0037058911983418245,-5.597831509795526,H2:PP-SinRelacion,-4.87345,-5.6001199999999995
